 Date        time  sm   APmag  S-brt   Illu%            delta      deldot
 2014-Dec-02 18:00 *   -11.54   4.40  84.139 0.00253083254776  -0.0662937
 2014-Dec-02 18:15 *   -11.55   4.39  84.247 0.00253038041550  -0.0839388
 2014-Dec-02 18:30 *   -11.55   4.39  84.354 0.00252982332729  -0.1011714
 2014-Dec-02 18:45 *   -11.56   4.39  84.460 0.00252916396827  -0.1179241
 2014-Dec-02 19:00 *   -11.56   4.38  84.565 0.00252840542295  -0.1341317
 2014-Dec-02 19:15 *   -11.57   4.38  84.669 0.00252755116427  -0.1497304
 2014-Dec-02 19:30 *   -11.57   4.38  84.772 0.00252660504116  -0.1646588
 2014-Dec-02 19:45 *   -11.58   4.37  84.874 0.00252557126491  -0.1788581
 2014-Dec-02 20:00 *   -11.58   4.37  84.975 0.00252445439397  -0.1922717
 2014-Dec-02 20:15 *   -11.59   4.37  85.075 0.00252325931750  -0.2048462
 2014-Dec-02 20:30 *   -11.59   4.36  85.173 0.00252199123771  -0.2165311
 2014-Dec-02 20:45 *   -11.60   4.36  85.270 0.00252065565087  -0.2272791
 2014-Dec-02 21:00 *   -11.60   4.36  85.365 0.00251925832710  -0.2370465
 2014-Dec-02 21:15 *   -11.61   4.35  85.459 0.00251780528909  -0.2457931
 2014-Dec-02 21:30 *   -11.62   4.35  85.551 0.00251630278968  -0.2534826
 2014-Dec-02 21:45 *   -11.62   4.35  85.642 0.00251475728848  -0.2600826
 2014-Dec-02 22:00 *   -11.63   4.35  85.731 0.00251317542742  -0.2655650
 2014-Dec-02 22:15 *   -11.63   4.34  85.819 0.00251156400551  -0.2699056
 2014-Dec-02 22:30 *r  -11.64   4.34  85.905 0.00250992995278  -0.2730850
 2014-Dec-02 22:45 *m  -11.64   4.34  85.989 0.00250828030350  -0.2750881
 2014-Dec-02 23:00 *m  -11.65   4.33  86.072 0.00250662216870  -0.2759045
 2014-Dec-02 23:15 *m  -11.65   4.33  86.153 0.00250496270829  -0.2755283
 2014-Dec-02 23:30 *m  -11.66   4.33  86.232 0.00250330910270  -0.2739586
 2014-Dec-02 23:45 *m  -11.66   4.33  86.310 0.00250166852410  -0.2711990
 2014-Dec-03 00:00 *m  -11.67   4.32  86.386 0.00250004810760  -0.2672583
 2014-Dec-03 00:15 *m  -11.67   4.32  86.460 0.00249845492221  -0.2621497
 2014-Dec-03 00:30 Cm  -11.68   4.32  86.533 0.00249689594190  -0.2558915
 2014-Dec-03 00:45 Cm  -11.68   4.32  86.605 0.00249537801680  -0.2485065
 2014-Dec-03 01:00 Nm  -11.69   4.31  86.674 0.00249390784472  -0.2400226
 2014-Dec-03 01:15 Nm  -11.69   4.31  86.743 0.00249249194306  -0.2304720
 2014-Dec-03 01:30 Nm  -11.69   4.31  86.810 0.00249113662128  -0.2198914
 2014-Dec-03 01:45 Am  -11.70   4.31  86.875 0.00248984795405  -0.2083222
 2014-Dec-03 02:00 Am  -11.70   4.31  86.939 0.00248863175525  -0.1958097
 2014-Dec-03 02:15  m  -11.71   4.30  87.002 0.00248749355290  -0.1824035
 2014-Dec-03 02:30  m  -11.71   4.30  87.064 0.00248643856519  -0.1681570
 2014-Dec-03 02:45  m  -11.71   4.30  87.124 0.00248547167776  -0.1531273
 2014-Dec-03 03:00  m  -11.72   4.30  87.183 0.00248459742218  -0.1373750
 2014-Dec-03 03:15  m  -11.72   4.30  87.242 0.00248381995610  -0.1209637
 2014-Dec-03 03:30  m  -11.72   4.29  87.299 0.00248314304478  -0.1039602
 2014-Dec-03 03:45  m  -11.73   4.29  87.356 0.00248257004443  -0.0864337
 2014-Dec-03 04:00  m  -11.73   4.29  87.412 0.00248210388722  -0.0684558
 2014-Dec-03 04:15  m  -11.73   4.29  87.467 0.00248174706823  -0.0501002
 2014-Dec-03 04:30  m  -11.74   4.29  87.522 0.00248150163426  -0.0314422
 2014-Dec-03 04:45  m  -11.74   4.28  87.576 0.00248136917476  -0.0125584
 2014-Dec-03 05:00  m  -11.74   4.28  87.630 0.00248135081467   0.0064734
 2014-Dec-03 05:15  m  -11.74   4.28  87.683 0.00248144720947   0.0255750
 2014-Dec-03 05:30  t  -11.75   4.28  87.737 0.00248165854234   0.0446677
 2014-Dec-03 05:45  m  -11.75   4.28  87.790 0.00248198452341   0.0636730
 2014-Dec-03 06:00  m  -11.75   4.27  87.843 0.00248242439126   0.0825127
 2014-Dec-03 06:15  m  -11.75   4.27  87.896 0.00248297691648   0.1011095
 2014-Dec-03 06:30  m  -11.75   4.27  87.949 0.00248364040738   0.1193871
 2014-Dec-03 06:45  m  -11.76   4.27  88.003 0.00248441271778   0.1372707
 2014-Dec-03 07:00  m  -11.76   4.27  88.057 0.00248529125687   0.1546874
 2014-Dec-03 07:15  m  -11.76   4.27  88.111 0.00248627300099   0.1715664
 2014-Dec-03 07:30  m  -11.76   4.26  88.166 0.00248735450734   0.1878390
 2014-Dec-03 07:45  m  -11.76   4.26  88.221 0.00248853192952   0.2034398
 2014-Dec-03 08:00  m  -11.76   4.26  88.277 0.00248980103484   0.2183060
 2014-Dec-03 08:15  m  -11.77   4.26  88.334 0.00249115722314   0.2323782
 2014-Dec-03 08:30  m  -11.77   4.26  88.391 0.00249259554732   0.2456005
 2014-Dec-03 08:45  m  -11.77   4.25  88.449 0.00249411073508   0.2579208
 2014-Dec-03 09:00  m  -11.77   4.25  88.509 0.00249569721209   0.2692907
 2014-Dec-03 09:15  m  -11.77   4.25  88.569 0.00249734912629   0.2796664
 2014-Dec-03 09:30  m  -11.77   4.25  88.629 0.00249906037316   0.2890078
 2014-Dec-03 09:45  m  -11.78   4.24  88.691 0.00250082462195   0.2972797
 2014-Dec-03 10:00  m  -11.78   4.24  88.754 0.00250263534271   0.3044513
 2014-Dec-03 10:15  m  -11.78   4.24  88.818 0.00250448583386   0.3104962
 2014-Dec-03 10:30  m  -11.78   4.24  88.884 0.00250636925029   0.3153932
